Customer_ID,Customer_Name,Email,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season
CUST_0001,Name CUST_0001,cust_0001@demo.example,Pants,1,114.33,114.33,2024-02-27,Summer
CUST_0001,Name CUST_0001,cust_0001@demo.example,Shoes,1,105.38,105.38,2024-03-12,Spring
CUST_0001,Name CUST_0001,cust_0001@demo.example,Shirt,4,93.32,373.28,2024-04-22,Summer
CUST_0001,Name CUST_0001,cust_0001@demo.example,Accessory,1,89.45,89.45,2024-04-29,Winter
CUST_0001,Name CUST_0001,cust_0001@demo.example,Shirt,3,95.31,285.93,2024-07-02,Winter
CUST_0001,Name CUST_0001,cust_0001@demo.example,Jacket,1,146.29,146.29,2024-10-01,Spring
CUST_0001,Name CUST_0001,cust_0001@demo.example,Shoes,3,126.46,379.38,2024-10-09,Fall
CUST_0001,Name CUST_0001,cust_0001@demo.example,Shirt,2,109.23,218.46,2024-10-22,Summer
CUST_0001,Name CUST_0001,cust_0001@demo.example,Shirt,4,16.39,65.56,2024-10-29,Summer
CUST_0001,Name CUST_0001,cust_0001@demo.example,Pants,4,58.95,235.8,2024-12-23,Summer
CUST_0001,Name CUST_0001,cust_0001@demo.example,Jacket,3,26.11,78.33,2025-01-25,Spring
CUST_0001,Name CUST_0001,cust_0001@demo.example,Pants,3,147.96,443.88,2025-01-30,Spring
CUST_0002,Name CUST_0002,cust_0002@demo.example,Shoes,2,138.01,276.02,2024-02-03,Fall
CUST_0002,Name CUST_0002,cust_0002@demo.example,Accessory,4,66.6,266.4,2024-04-18,Winter
CUST_0002,Name CUST_0002,cust_0002@demo.example,Dress,4,99.72,398.88,2024-05-22,Summer
CUST_0002,Name CUST_0002,cust_0002@demo.example,Dress,3,40.91,122.73,2024-07-08,Spring
CUST_0002,Name CUST_0002,cust_0002@demo.example,Accessory,4,49.25,197.0,2024-08-24,Summer
CUST_0002,Name CUST_0002,cust_0002@demo.example,Pants,2,85.71,171.42,2024-11-07,Summer
CUST_0002,Name CUST_0002,cust_0002@demo.example,Shirt,3,128.31,384.93,2024-12-16,Summer
CUST_0002,Name CUST_0002,cust_0002@demo.example,Jacket,1,123.1,123.1,2025-02-24,Fall
CUST_0003,Name CUST_0003,cust_0003@demo.example,Accessory,2,98.59,197.18,2024-02-26,Winter
CUST_0003,Name CUST_0003,cust_0003@demo.example,Shirt,2,82.31,164.62,2024-04-22,Spring
CUST_0003,Name CUST_0003,cust_0003@demo.example,Shoes,2,46.03,92.06,2024-05-15,Fall
CUST_0003,Name CUST_0003,cust_0003@demo.example,Jacket,4,135.9,543.6,2025-01-17,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Jacket,4,64.66,258.64,2024-02-02,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Shoes,4,124.61,498.44,2024-02-13,Summer
CUST_0004,Name CUST_0004,cust_0004@demo.example,Pants,4,142.67,570.68,2024-03-06,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Accessory,1,143.63,143.63,2024-08-20,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Shirt,2,82.06,164.12,2024-09-13,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Shoes,4,145.08,580.32,2024-09-27,Summer
CUST_0004,Name CUST_0004,cust_0004@demo.example,Shirt,1,105.88,105.88,2024-10-10,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Shirt,3,79.43,238.29,2024-11-02,Fall
CUST_0004,Name CUST_0004,cust_0004@demo.example,Pants,2,33.09,66.18,2024-11-23,Spring
CUST_0004,Name CUST_0004,cust_0004@demo.example,Jacket,3,27.39,82.17,2025-01-28,Summer
CUST_0004,Name CUST_0004,cust_0004@demo.example,Pants,3,45.04,135.12,2025-02-17,Spring
CUST_0005,Name CUST_0005,cust_0005@demo.example,Shirt,1,109.68,109.68,2024-01-04,Summer
CUST_0005,Name CUST_0005,cust_0005@demo.example,Shirt,4,112.49,449.96,2024-02-01,Summer
CUST_0005,Name CUST_0005,cust_0005@demo.example,Shirt,1,130.63,130.63,2024-02-04,Summer
CUST_0005,Name CUST_0005,cust_0005@demo.example,Jacket,4,60.89,243.56,2024-02-19,Winter
CUST_0005,Name CUST_0005,cust_0005@demo.example,Shirt,3,75.84,227.52,2024-04-03,Winter
CUST_0005,Name CUST_0005,cust_0005@demo.example,Pants,2,86.01,172.02,2024-04-08,Winter
CUST_0005,Name CUST_0005,cust_0005@demo.example,Pants,4,123.43,493.72,2024-05-04,Spring
CUST_0005,Name CUST_0005,cust_0005@demo.example,Pants,4,41.56,166.24,2024-05-22,Winter
CUST_0005,Name CUST_0005,cust_0005@demo.example,Accessory,4,149.33,597.32,2024-06-08,Fall
CUST_0005,Name CUST_0005,cust_0005@demo.example,Pants,1,93.19,93.19,2024-06-22,Summer
CUST_0005,Name CUST_0005,cust_0005@demo.example,Pants,4,28.7,114.8,2024-08-12,Spring
CUST_0005,Name CUST_0005,cust_0005@demo.example,Accessory,1,104.92,104.92,2025-01-08,Spring
CUST_0005,Name CUST_0005,cust_0005@demo.example,Shoes,1,18.98,18.98,2025-02-17,Spring
